Image,Steering,Accelerate
Data/Image_1723634458569482 1.jpg,35.0,-9.0
Data/Image_1723634458579654 2.jpg,35.0,-9.0
Data/Image_1723634458590063 3.jpg,35.0,-9.0
Data/Image_1723634458613311 4.jpg,35.0,-9.0
Data/Image_1723634458623737 5.jpg,35.0,-9.0
Data/Image_1723634458657793 6.jpg,35.0,-10.0
Data/Image_1723634458668441 7.jpg,35.0,-10.0
Data/Image_172363445869205 8.jpg,35.0,-10.0
Data/Image_1723634458746118 9.jpg,35.0,-8.0
Data/Image_1723634458760992 10.jpg,35.0,-8.0
Data/Image_1723634458809495 11.jpg,35.0,-9.0
Data/Image_1723634458826987 12.jpg,35.0,-9.0
Data/Image_1723634458871425 13.jpg,35.0,-9.0
Data/Image_1723634458892818 14.jpg,35.0,-9.0
Data/Image_1723634458941847 15.jpg,35.0,-8.0
Data/Image_172363445895925 16.jpg,35.0,-8.0
Data/Image_1723634458993491 17.jpg,35.0,-8.0
Data/Image_1723634459029699 18.jpg,35.0,-8.0
Data/Image_1723634459062712 19.jpg,35.0,-8.0
Data/Image_172363445911124 20.jpg,35.0,-10.0
Data/Image_1723634459127774 21.jpg,35.0,-10.0
Data/Image_1723634459160018 22.jpg,35.0,-9.0
Data/Image_1723634459209291 23.jpg,35.0,-9.0
Data/Image_1723634459225998 24.jpg,35.0,-9.0
Data/Image_172363445927116 25.jpg,35.0,-9.0
Data/Image_1723634459293504 26.jpg,35.0,-9.0
Data/Image_1723634459341807 27.jpg,35.0,-9.0
Data/Image_172363445936107 28.jpg,35.0,-9.0
Data/Image_1723634459413198 29.jpg,35.0,-8.0
Data/Image_1723634459427824 30.jpg,35.0,-8.0
Data/Image_172363445947537 31.jpg,35.0,-9.0
Data/Image_1723634459493183 32.jpg,35.0,-9.0
Data/Image_1723634459546257 33.jpg,35.0,-10.0
Data/Image_1723634459559438 34.jpg,35.0,-10.0
Data/Image_1723634459609223 35.jpg,35.0,-9.0
Data/Image_172363445962804 36.jpg,35.0,-9.0
Data/Image_1723634459679738 37.jpg,35.0,-9.0
Data/Image_1723634459694502 38.jpg,35.0,-9.0
Data/Image_1723634459742021 39.jpg,35.0,-9.0
Data/Image_1723634459761481 40.jpg,35.0,-9.0
Data/Image_1723634459813445 41.jpg,35.0,-9.0
Data/Image_1723634459826073 42.jpg,35.0,-9.0
Data/Image_1723634459875074 43.jpg,35.0,-9.0
Data/Image_1723634459892441 44.jpg,35.0,-9.0
Data/Image_1723634459937645 45.jpg,35.0,-8.0
Data/Image_1723634459961244 46.jpg,35.0,-8.0
Data/Image_1723634460009396 47.jpg,35.0,-9.0
Data/Image_1723634460026935 48.jpg,35.0,-9.0
Data/Image_1723634460071001 49.jpg,35.0,-9.0
Data/Image_1723634460092991 50.jpg,35.0,-9.0
Data/Image_1723634460145132 51.jpg,35.0,-8.0
Data/Image_1723634460165578 52.jpg,35.0,-8.0
Data/Image_1723634460203496 53.jpg,35.0,-9.0
Data/Image_1723634460225186 54.jpg,35.0,-9.0
Data/Image_1723634460275141 55.jpg,35.0,-9.0
Data/Image_1723634460294877 56.jpg,35.0,-9.0
Data/Image_1723634460346076 57.jpg,35.0,-8.0
Data/Image_1723634460361653 58.jpg,35.0,-8.0
Data/Image_1723634460409195 59.jpg,35.0,-8.0
Data/Image_1723634460428544 60.jpg,35.0,-8.0
Data/Image_1723634460480289 61.jpg,35.0,-8.0
Data/Image_1723634460493342 62.jpg,35.0,-6.0
Data/Image_1723634460541703 63.jpg,35.0,-6.0
Data/Image_1723634460563065 64.jpg,35.0,-6.0
Data/Image_1723634460613527 65.jpg,35.0,-7.0
Data/Image_1723634460629897 66.jpg,35.0,-7.0
Data/Image_1723634460661263 67.jpg,35.0,-7.0
Data/Image_1723634460719783 68.jpg,35.0,-7.0
Data/Image_1723634460729985 69.jpg,35.0,-4.0
Data/Image_1723634460760753 70.jpg,35.0,-4.0
Data/Image_1723634460796271 71.jpg,35.0,-4.0
Data/Image_1723634460827752 72.jpg,35.0,5.0
Data/Image_1723634460874978 73.jpg,35.0,14.0
Data/Image_1723634460895638 74.jpg,35.0,14.0
Data/Image_1723634460945349 75.jpg,35.0,22.0
Data/Image_1723634460964027 76.jpg,35.0,22.0
Data/Image_1723634461013087 77.jpg,35.0,14.0
Data/Image_1723634461028177 78.jpg,35.0,14.0
Data/Image_1723634461080014 79.jpg,35.0,37.0
Data/Image_1723634461093258 80.jpg,35.0,55.0
Data/Image_1723634461140154 81.jpg,35.0,55.0
Data/Image_1723634461163121 82.jpg,35.0,54.0
Data/Image_1723634461209307 83.jpg,35.0,71.0
Data/Image_172363446122906 84.jpg,35.0,71.0
Data/Image_1723634461277762 85.jpg,35.0,86.0
Data/Image_1723634461297651 86.jpg,35.0,86.0
Data/Image_1723634461338046 87.jpg,35.0,104.0
Data/Image_1723634461361371 88.jpg,35.0,104.0
Data/Image_1723634461392257 89.jpg,35.0,104.0
Data/Image_1723634461439853 90.jpg,35.0,104.0
Data/Image_1723634461461027 91.jpg,35.0,104.0
Data/Image_1723634461509597 92.jpg,35.0,121.0
Data/Image_1723634461528983 93.jpg,35.0,121.0
Data/Image_1723634461577914 94.jpg,35.0,126.0
Data/Image_1723634461593093 95.jpg,35.0,126.0
Data/Image_1723634461627242 96.jpg,35.0,126.0
Data/Image_1723634461660452 97.jpg,35.0,115.0
Data/Image_1723634461706192 98.jpg,35.0,89.0
Data/Image_1723634461725322 99.jpg,35.0,89.0
Data/Image_1723634461775146 100.jpg,35.0,35.0
Data/Image_1723634461794261 101.jpg,35.0,35.0
Data/Image_1723634461846071 102.jpg,35.0,-8.0
Data/Image_1723634461861616 103.jpg,35.0,-8.0
Data/Image_17236344619091 104.jpg,35.0,-9.0
Data/Image_1723634461926143 105.jpg,35.0,-9.0
Data/Image_1723634461971073 106.jpg,35.0,-9.0
Data/Image_1723634461993251 107.jpg,35.0,-9.0
Data/Image_1723634462039737 108.jpg,35.0,1.0
Data/Image_1723634462060033 109.jpg,35.0,37.0
